table,section,item,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state,hazard_reduction_pct,reserve_gain_pct,ug,parameter,PRCC_reserve,PRCC_hazard,elasticity_reserve,elasticity_hazard,rtol,atol,A0,F0
continuation,,,0.5903467802771637,0.2714515744404989,0.13152177690490968,0.2085269662053958,0.17020047753036227,0.5124410529313214,0.2717628756780255,-0.018936203998430157,0.6566746990405857,Constrained,0.09090685149083894,0.74,,,0.49000000000000005,,,,,,,,,
continuation,,,0.5928004506382228,0.27236509238670564,0.13195973117986345,0.2092233443105121,0.17081325668364059,0.5115215352711763,0.2699604555648647,-0.017583299931122925,0.6591106751753333,Constrained,0.09095756605363968,0.74,,,0.49500000000000005,,,,,,,,,
continuation,,,0.5952248837040325,0.2732660587702266,0.13239176158239604,0.20991038851378,0.17141807336909198,0.5106165284011595,0.2681838900997473,-0.01624899961036655,0.6615049512324362,Constrained,0.0910073893759663,0.74,,,0.5,,,,,,,,,
continuation,,,0.5976205994107089,0.27415472550560144,0.1328179839359656,0.2105882810382102,0.17201507875207328,0.5097256991975118,0.26643263108518533,-0.014932924301796269,0.663858451686424,Constrained,0.09105584952972867,0.74,,,0.505,,,,,,,,,
continuation,,,0.5999881054182333,0.2750313379601456,0.13323851117912688,0.2112571995257674,0.1726044202908012,0.5088487244538117,0.2647061455656806,-0.013634705392957774,0.6661720782078551,Constrained,0.09110410879720379,0.74,,,0.51,,,,,,,,,
continuation,,,0.6023278975061086,0.2758961351708704,0.13365345343149548,0.21191731716626228,0.17318624184438072,0.5079852904866863,0.2630039152705004,-0.012353984041865107,0.6684467102075127,Constrained,0.09115090530663413,0.74,,,0.515,,,,,,,,,
continuation,,,0.6046404599057857,0.27674935003808476,0.13406291808407161,0.21256880283481122,0.17376068377908552,0.5071350928062534,0.2613254361302937,-0.011090410865862571,0.6706832053291701,Constrained,0.09119699465865976,0.74,,,0.52,,,,,,,,,
continuation,,,0.6069262656330712,0.2775912095155411,0.13446700988044724,0.21321182122153826,0.17432788307060185,0.5062978357894109,0.25967021780112637,-0.009843645636260195,0.672882399950827,Constrained,0.09124289672820396,0.74,,,0.525,,,,,,,,,
continuation,,,0.6091857768090247,0.2784219347937264,0.13486583099537786,0.21384653295684003,0.17488797340284384,0.5054732323668902,0.25803778320745685,-0.00861335698465307,0.6750451096818726,Constrained,0.09128706865923196,0.74,,,0.53,,,,,,,,,
continuation,,,0.6114194449825358,0.27924174148125114,0.1352594811034254,0.21447309472885737,0.17544108526313976,0.5046610037084632,0.25642766808731393,-0.0073992221121990664,0.6771721298697086,Constrained,0.09133088182083819,0.74,,,0.535,,,,,,,,,
continuation,,,0.6136277114184839,0.2800508397710873,0.13564805745883624,0.21509165940348682,0.17598734603484095,0.5038608789491663,0.25483942058504616,-0.0062009265252705725,0.6792642360731009,Constrained,0.0913745205007023,0.74,,,0.54,,,,,,,,,
continuation,,,0.6158110073764097,0.28084943460087525,0.13603165497291222,0.21570237614020135,0.176526880086799,0.5030725949261716,0.25327260085925685,-0.005018163780662693,0.6813221845306947,Constrained,0.09141646158361588,0.74,,,0.545,,,,,,,,,
continuation,,,0.617969754411757,0.28163772581946905,0.13641036627014957,0.2163053904951101,0.17705980885911166,0.5022958958890067,0.25172678066613274,-0.003850635219699472,0.68334671265912,Constrained,0.09145808908263518,0.74,,,0.55,,,,,,,,,
continuation,,,0.6201043646391987,0.2824159083373576,0.13678428175869647,0.2169008445282664,0.17758625094674696,0.5015305332542473,0.25020154299359126,-0.002698049730215757,0.6853385395113912,Constrained,0.09149955414413848,0.74,,,0.555,,,,,,,,,
continuation,,,0.6222152409945289,0.28318417227449205,0.13715348969429575,0.21748887690534194,0.17810632218022654,0.5007762653615548,0.24869648170030462,-0.0015601235125876078,0.6872983662362614,Depleted,0.0915396501715046,0.74,,,0.5599999999999999,,,,,,,,,
continuation,,,0.6243027774877992,0.2839427031029344,0.13751807624220808,0.2180696229959232,0.17862013570367233,0.5000328572396104,0.24721120116855855,-0.0004365798543936872,0.689226876529494,Depleted,0.09157917869195328,0.74,,,0.565,,,,,,,,,
continuation,,,0.6263673594553602,0.2846916817877092,0.13787812553252846,0.21864321496637093,0.1791278020502198,0.4993000803709073,0.24574531595919713,0.0006728510923975917,0.6911247370866008,Depleted,0.09161855610611908,0.74,,,0.57,,,,,,,,,
continuation,,,0.6284093637964749,0.28543128491966036,0.13823371971815315,0.21920978187175838,0.17962942921507047,0.49857771247655375,0.24429845049081184,0.0017684325203411733,0.6929925980366519,Depleted,0.09165718545132832,0.74,,,0.575,,,,,,,,,
continuation,,,0.6304291591815369,0.2861616848346256,0.13858493904427593,0.2197694497509293,0.18012512272640124,0.4978655373392096,0.24287023876213204,0.002850421151818161,0.6948310933402077,Depleted,0.09169469805968335,0.74,,,0.58,,,,,,,,,
continuation,,,0.632427106298643,0.2868830497482156,0.13893186188687626,0.2203223417049753,0.18061498571345683,0.4971633445679732,0.24146032401623718,0.00391906745301035,0.6966408412397449,Depleted,0.09173207021911506,0.74,,,0.585,,,,,,,,,
